,Absorbs,Attack,Attack_Visual,Control,Defense,Drops,Exp,Elemental_Immunity,Evasion,Gil,HP,ID,Imp_Criticals,Inherent_Status,Level,Location,MP,MP_Kill,Magic_Attack,Magic_Defense,Magic_Evasion,Metamorphose,Other_Immunity,Rage,Run_Difficulty,SNES_Name,Sketch,Special_Attack,Speed,Status_Immunity,Steal,Type,Vulnerable_to,Weak_Against,Boss,iOS,Dragon_Den
Abaddon,Poison,30,Rune Blade,"Attack, Sharpened Claw, Disaster",160,Lich Ring (1/8),5000,None,0,0,25000,266,No,None,71,Dragon's Den (Inner Eye Labyrinth) [WoR],8000,No,30,180,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",None,None,Easy,,"Attack (3/4), Sharpened Claw (1/4)",Sharpened Claw (200% damage),70,"Zombie, Poison, Imp, Petrify, Death, Doom, Critical Silence, Confusion, Sap, Sleep, Slow, Stop",Hi-Ether (1/8),"Humanoid, Undead","Darkness, MagiTek, Invisible, Image, Berserk","Fire, Holy",0,1,1
Abyss Worm,Ice,23,Fist,"Attack, Acid, Magnitude 8",180,Phoenix Down (1/8),5000,"Fire, Lightning, Poison, Wind, Earth, Water",0,0,34000,373,No,None,91,Dragon's Den (Cloister of Trials) [WoR],60000,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,,"Attack (3/4), Magnitude 8 (1/4)",Acid (inflicts 'Sap'),42,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Elixir (1/8),N/A,Nothing,Holy,1,1,1
Acrophies,None,13,Fist,"Attack, Numbclaw",50,None,90,None,0,115,145,28,No,None,11,South Figaro Cave (Locke's Scenario) [WoB],10,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Numbclaw,Easy,Primordite,"Attack (3/4), Numbclaw (1/4)",Numbclaw (inflicts 'Stop'),30,Imp,"Eye Drops (7/8), Potion (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",Lightning,0,0,0
Actinian,Water,13,Fist,"Attack, Clamp",100,None,57,None,0,125,230,52,No,Darkness,12,Serpent Trench,98,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Clamp,Easy,Actaneon,"Aqua Breath (3/4), Clamp (1/4)",Clamp (150% damage),35,"Zombie, Imp, Silence, Berserk, Confusion, Sleep",Hi-Potion (7/8),N/A,"Darkness, Poison, MagiTek, Invisible, Petrify, Death, Doom Critical, Image, Sap, Slow, Stop","Fire, Lightning",0,0,0
Adamankary,None,22,Dragon Claws,"Attack, Claw, Acid Rain",225,None,1450,None,0,189,1305,101,Yes,Protect,24,Esper Cave (Cave),50,No,10,45,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (128/256)",None,Acid Rain,Easy,Adamanchyt,"Blaster (3/4), Claw (1/4)",Claw (150% damage),40,"Petrify, Death, Doom, Critical, Confusion",Golden Shield (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Image Silence, Berserk, Sap, Sleep, Slow, Stop",None,0,0,0
Aepyornis,None,12,Ice Rod,"Attack, Featherdust",80,Hi-Potion (1/8),108,None,0,135,290,33,Yes,None,11,Overworld (Sabin's Scenario) [Grass] [WoB] Overworld (Area West of Veldt) [Grass],30,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Featherdust,Easy,Beakor,"Attack (3/4), Featherdust (1/4)",Featherdust (inflicts 'Poison'),30,Imp,"Eye Drops (7/8), Hi-Potion (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",Fire,0,0,0
Ahriman,None,11,Fist,"Attack, Death, Banish, Roulette",110,None,2820,None,0,0,10000,259,No,None,51,Kefka's Tower (2nd Party,300,No,17,145,0,"Cursed Ring, Cursed Ring, Thornlet, Lich Ring (32/256)",Meteor Strike,Roulette,Hard,Veteran,"Doom (3/4), Roulette (1/4)",Critical (250% damage),30,"Imp, Petrify, Death, Doom, Critical",Earring (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Image, Silence Berserk, Confusion, Sap, Sleep, Slow, Stop",None,0,0,0
Air Force,None,10,Trident,"Attack, Hit",150,Princess Ring (Always),0,None,0,0,8000,302,No,None,25,Air (After you get blown off Blackjack by Typhon),750,No,12,120,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,Air Force,"Attack (3/4), Hit (1/4)",Hit (150% damage),35,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",Elixir (7/8),N/A,Nothing,"Lightning, Water",1,0,0
Al Jabr,None,13,Fist,"Attack, Spinning Umbrella, Thundaga, Flash Rain",110,None,890,None,0,485,2722,206,No,Float,39,Cyan's Dream/Dreamscape (Phantom Train/Doma Castle) [WoR],180,Yes,10,145,30,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",Meteor Strike,Thundaga,Easy,Rain Man,"Thundaga (3/4), Spinning Umbrella (1/4)",Spinning Umbrella (inflicts 'Sleep'),34,"Zombie, MagiTek, Invisible, Imp, Petrify, Critical, Silence Berserk, Sleep",None,Humanoid,"Darkness, Poison, Death, Doom, Image, Confusion, Sap Slow, Stop","Ice, Holy, Water",0,0,0
Alacran,None,20,Ice Rod,"Attack, Numb",80,Potion (1/8),37,None,0,94,87,10,No,None,6,Desert [WoB],15,No,10,135,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Numb,Easy,Areneid,"Attack (3/4), Numb (1/4)",Numb (inflicts 'Stop'),30,None,Potion (7/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop","Ice, Water",0,0,0
